,M1,M2,TOTAL
2020-06-01 00:00:00,-7.23,0.0,-7.23
2020-06-01 00:30:00,0.0,0.0,0.0
2020-06-01 01:00:00,-7.02,0.0,-7.02
2020-06-01 01:30:00,-5.09,-0.0,-5.09
2020-06-01 02:00:00,-6.26,0.0,-6.26
2020-06-01 02:30:00,0.0,-0.0,0.0
2020-06-01 03:00:00,19.05999999999999,0.0,19.05999999999999
2020-06-01 03:30:00,-18.899999999999995,-0.0,-18.899999999999995
2020-06-01 04:00:00,29.369999999999987,0.0,29.369999999999987
2020-06-01 04:30:00,-23.649999999999988,-0.0,-23.649999999999988
2020-06-01 05:00:00,30.9,0.0,30.9
2020-06-01 05:30:00,-28.16,-0.0,-28.16
2020-06-01 06:00:00,0.0,0.0,0.0
2020-06-01 06:30:00,0.0,-0.0,0.0
2020-06-01 07:00:00,0.0,36.42,36.42
2020-06-01 07:30:00,0.0,36.42,36.42
2020-06-01 08:00:00,-0.0,37.55,37.55
2020-06-01 08:30:00,-0.0,37.55,37.55
2020-06-01 09:00:00,-0.0,0.0,0.0
2020-06-01 09:30:00,-0.0,0.0,0.0
2020-06-01 10:00:00,0.0,-25.605,-25.605
2020-06-01 10:30:00,-0.0,-25.605,-25.605
2020-06-01 11:00:00,31.26,0.0,31.26
2020-06-01 11:30:00,31.2,-0.0,31.2
2020-06-01 12:00:00,-0.0,0.0,0.0
2020-06-01 12:30:00,-0.0,0.0,0.0
2020-06-01 13:00:00,-0.0,-21.79,-21.79
2020-06-01 13:30:00,-0.0,-21.79,-21.79
2020-06-01 14:00:00,-17.34,0.0,-17.34
2020-06-01 14:30:00,-22.63,0.0,-22.63
2020-06-01 15:00:00,0.0,34.765,34.765
2020-06-01 15:30:00,0.0,34.765,34.765
2020-06-01 16:00:00,-32.49,0.0,-32.49
2020-06-01 16:30:00,-34.16999999999999,-0.0,-34.16999999999999
2020-06-01 17:00:00,0.0,46.775,46.775
2020-06-01 17:30:00,0.0,46.775,46.775
2020-06-01 18:00:00,0.0,47.775,47.775
2020-06-01 18:30:00,0.0,47.775,47.775
2020-06-01 19:00:00,-37.49,0.0,-37.49
2020-06-01 19:30:00,-35.86,-0.0,-35.86
2020-06-01 20:00:00,0.0,45.815,45.815
2020-06-01 20:30:00,0.0,45.815,45.815
2020-06-01 21:00:00,-32.76,0.0,-32.76
2020-06-01 21:30:00,-36.09,-0.0,-36.09
2020-06-01 22:00:00,0.0,39.15,39.15
2020-06-01 22:30:00,0.0,39.15,39.15
2020-06-01 23:00:00,-33.82,0.0,-33.82
2020-06-01 23:30:00,33.980000000000004,-0.0,33.980000000000004
2020-06-02 00:00:00,-29.81,0.0,-29.81
2020-06-02 00:30:00,-30.4,-0.0,-30.4
2020-06-02 01:00:00,0.0,34.035,34.035
2020-06-02 01:30:00,0.0,34.035,34.035
2020-06-02 02:00:00,-28.59,0.0,-28.59
2020-06-02 02:30:00,-26.72,-0.0,-26.72
2020-06-02 03:00:00,-28.59,0.0,-28.59
2020-06-02 03:30:00,-27.65,-0.0,-27.65
2020-06-02 04:00:00,0.0,38.195,38.195
2020-06-02 04:30:00,-0.0,38.195,38.195
2020-06-02 05:00:00,-0.0,37.755,37.755
2020-06-02 05:30:00,-0.0,37.755,37.755
2020-06-02 06:00:00,-29.77,0.0,-29.77
2020-06-02 06:30:00,34.27,-0.0,34.27
2020-06-02 07:00:00,-29.72,0.0,-29.72
2020-06-02 07:30:00,-23.74,-0.0,-23.74
2020-06-02 08:00:00,0.0,30.63,30.63
2020-06-02 08:30:00,0.0,30.63,30.63
2020-06-02 09:00:00,-0.0,-10.9275,-10.9275
2020-06-02 09:30:00,-0.0,-10.9275,-10.9275
2020-06-02 10:00:00,22.62,0.0,22.62
2020-06-02 10:30:00,-18.75,-0.0,-18.75
2020-06-02 11:00:00,-0.0,-18.29,-18.29
2020-06-02 11:30:00,0.0,-18.29,-18.29
2020-06-02 12:00:00,-0.0,-9.722500000000002,-9.722500000000002
2020-06-02 12:30:00,-0.0,-9.722500000000002,-9.722500000000002
2020-06-02 13:00:00,22.15,0.0,22.15
2020-06-02 13:30:00,22.28,0.0,22.28
2020-06-02 14:00:00,0.0,-20.2,-20.2
2020-06-02 14:30:00,-0.0,-20.2,-20.2
2020-06-02 15:00:00,0.0,17.824999999999967,17.824999999999967
2020-06-02 15:30:00,0.0,17.824999999999967,17.824999999999967
2020-06-02 16:00:00,-34.33999999999993,0.0,-34.33999999999993
2020-06-02 16:30:00,0.0,-0.0,0.0
2020-06-02 17:00:00,0.0,45.945,45.945
2020-06-02 17:30:00,0.0,45.945,45.945
2020-06-02 18:00:00,-0.0,45.595,45.595
2020-06-02 18:30:00,0.0,45.595,45.595
2020-06-02 19:00:00,-37.22,0.0,-37.22
2020-06-02 19:30:00,-34.37,-0.0,-34.37
2020-06-02 20:00:00,0.0,42.695,42.695
2020-06-02 20:30:00,0.0,42.695,42.695
2020-06-02 21:00:00,-28.86,0.0,-28.86
2020-06-02 21:30:00,-32.34,-0.0,-32.34
2020-06-02 22:00:00,-25.97,0.0,-25.97
2020-06-02 22:30:00,32.93,-0.0,32.93
2020-06-02 23:00:00,0.0,32.95,32.95
2020-06-02 23:30:00,0.0,32.95,32.95
2020-06-03 00:00:00,0.0,0.0,0.0
2020-06-03 00:30:00,-21.9,-0.0,-21.9
2020-06-03 01:00:00,-0.0,11.425,11.425
2020-06-03 01:30:00,0.0,11.425,11.425
2020-06-03 02:00:00,-12.76,0.0,-12.76
2020-06-03 02:30:00,-13.3,0.0,-13.3
2020-06-03 03:00:00,0.0,21.065,21.065
2020-06-03 03:30:00,-0.0,21.065,21.065
2020-06-03 04:00:00,-17.0,0.0,-17.0
2020-06-03 04:30:00,-16.35,0.0,-16.35
2020-06-03 05:00:00,-18.16,0.0,-18.16
2020-06-03 05:30:00,-15.29,-0.0,-15.29
2020-06-03 06:00:00,0.0,28.605,28.605
2020-06-03 06:30:00,-0.0,28.605,28.605
2020-06-03 07:00:00,-0.0,29.08,29.08
2020-06-03 07:30:00,-0.0,29.08,29.08
2020-06-03 08:00:00,0.0,0.0,0.0
2020-06-03 08:30:00,0.0,-0.0,0.0
2020-06-03 09:00:00,-19.51,0.0,-19.51
2020-06-03 09:30:00,22.56,0.0,22.56
2020-06-03 10:00:00,0.0,-17.425,-17.425
2020-06-03 10:30:00,-0.0,-17.425,-17.425
2020-06-03 11:00:00,21.23,0.0,21.23
2020-06-03 11:30:00,21.55,0.0,21.55
2020-06-03 12:00:00,-0.0,-17.5,-17.5
2020-06-03 12:30:00,-0.0,-17.5,-17.5
2020-06-03 13:00:00,-0.0,-17.89,-17.89
2020-06-03 13:30:00,-0.0,-17.89,-17.89
2020-06-03 14:00:00,-0.0,0.0,0.0
2020-06-03 14:30:00,-0.0,0.0,0.0
2020-06-03 15:00:00,0.0,35.085,35.085
2020-06-03 15:30:00,0.0,35.085,35.085
2020-06-03 16:00:00,0.0,38.17,38.17
2020-06-03 16:30:00,0.0,38.17,38.17
2020-06-03 17:00:00,-27.8,0.0,-27.8
2020-06-03 17:30:00,-26.61,-0.0,-26.61
2020-06-03 18:00:00,0.0,36.285,36.285
2020-06-03 18:30:00,0.0,36.285,36.285
